Algorithmus, Anzahl Elemente, Zeit, Vergleiche, Verschiebung 
selection_c, 100, 461422, 5150, 93 
selection_c, 100, 460765, 5150, 93 
selection_c, 100, 457596, 5150, 97 
selection_c, 100, 457243, 5150, 92 
selection_c, 100, 459490, 5150, 94 
selection_c, 100, 460452, 5150, 93 
selection_c, 100, 460402, 5150, 96 
selection_c, 100, 460410, 5150, 95 
selection_c, 100, 461597, 5150, 96 
selection_c, 100, 465367, 5150, 99 
selection_c, 100, 461905, 5150, 97 
selection_c, 100, 458417, 5150, 96 
selection_c, 100, 457015, 5150, 94 
selection_c, 100, 460170, 5150, 96 
selection_c, 100, 465501, 5150, 99 
selection_c, 100, 464512, 5150, 95 
selection_c, 100, 460408, 5150, 97 
selection_c, 100, 457519, 5150, 94 
selection_c, 100, 460071, 5150, 95 
selection_c, 100, 460076, 5150, 97 
selection_c, 100, 455615, 5150, 94 
selection_c, 100, 461289, 5150, 96 
selection_c, 100, 459817, 5150, 98 
selection_c, 100, 459347, 5150, 94 
selection_c, 100, 454052, 5150, 93 
selection_c, 100, 462370, 5150, 91 
selection_c, 100, 458933, 5150, 93 
selection_c, 100, 458623, 5150, 98 
selection_c, 100, 462873, 5150, 94 
selection_c, 100, 467389, 5150, 96 
selection_c, 100, 457386, 5150, 95 
selection_c, 100, 460746, 5150, 95 
selection_c, 100, 461382, 5150, 94 
selection_c, 100, 458525, 5150, 94 
selection_c, 100, 460064, 5150, 97 
selection_c, 100, 458900, 5150, 94 
selection_c, 100, 461485, 5150, 95 
selection_c, 100, 460547, 5150, 93 
selection_c, 100, 461606, 5150, 97 
selection_c, 100, 460417, 5150, 98 
selection_c, 100, 459312, 5150, 94 
selection_c, 100, 460836, 5150, 97 
selection_c, 100, 463128, 5150, 95 
selection_c, 100, 455361, 5150, 94 
selection_c, 100, 457120, 5150, 97 
selection_c, 100, 456833, 5150, 94 
selection_c, 100, 458817, 5150, 95 
selection_c, 100, 464438, 5150, 95 
selection_c, 100, 463472, 5150, 97 
selection_c, 100, 460598, 5150, 96 
selection_c, 100, 457730, 5150, 97 
selection_c, 100, 474691, 5150, 95 
selection_c, 100, 455783, 5150, 96 
selection_c, 100, 461711, 5150, 97 
selection_c, 100, 463206, 5150, 97 
selection_c, 100, 461023, 5150, 98 
selection_c, 100, 459037, 5150, 95 
selection_c, 100, 464581, 5150, 97 
selection_c, 100, 460171, 5150, 96 
selection_c, 100, 462168, 5150, 98 
selection_c, 100, 459866, 5150, 96 
selection_c, 100, 459881, 5150, 95 
selection_c, 100, 461519, 5150, 92 
selection_c, 100, 463448, 5150, 96 
selection_c, 100, 457326, 5150, 95 
selection_c, 100, 457210, 5150, 94 
selection_c, 100, 456412, 5150, 97 
selection_c, 100, 459996, 5150, 97 
selection_c, 100, 460103, 5150, 94 
selection_c, 100, 459694, 5150, 95 
selection_c, 100, 465687, 5150, 96 
selection_c, 100, 457088, 5150, 96 
selection_c, 100, 458495, 5150, 95 
selection_c, 100, 458922, 5150, 92 
selection_c, 100, 460896, 5150, 96 
selection_c, 100, 466795, 5150, 96 
selection_c, 100, 460516, 5150, 97 
selection_c, 100, 456649, 5150, 93 
selection_c, 100, 454782, 5150, 93 
selection_c, 100, 460376, 5150, 96 
selection_c, 100, 417600, 5150, 0 
selection_c, 100, 418513, 5150, 0 
selection_c, 100, 418611, 5150, 0 
selection_c, 100, 417365, 5150, 0 
selection_c, 100, 417271, 5150, 0 
selection_c, 100, 422618, 5150, 0 
selection_c, 100, 417479, 5150, 0 
selection_c, 100, 417832, 5150, 0 
selection_c, 100, 418862, 5150, 0 
selection_c, 100, 416763, 5150, 0 
selection_c, 100, 458833, 5150, 50 
selection_c, 100, 461860, 5150, 50 
selection_c, 100, 459966, 5150, 50 
selection_c, 100, 457802, 5150, 50 
selection_c, 100, 459836, 5150, 50 
selection_c, 100, 458988, 5150, 50 
selection_c, 100, 460607, 5150, 50 
selection_c, 100, 458326, 5150, 50 
selection_c, 100, 458066, 5150, 50 
selection_c, 100, 458824, 5150, 50 
